FRB,z,DM,DM_ext,gl,gb,From,Ref
FRB 20180814A,0.068,190.9,73.3,136.46,16.58,Fan,https://www.nature.com/articles/s41586-018-0864-x
FRB 20181030A,0.00385,103.396,32.3,133.4,40.9,Fan,https://iopscience.iop.org/article/10.3847/2041-8213/ab4a80
FRB 20220529A,0.1839,246,176,130.78767,-41.85802,Fan,https://arxiv.org/abs/2503.04727
FRB 20220610A,1.016,1458.15,1397.15,8.8392,-70.1857,Fan,https://www.cambridge.org/core/journals/publications-of-the-astronomical-society-of-australia/article/commensal-realtime-askap-fast-transient-incoherentsum-survey/3486D8F81134D00A43DACFAC9831FAA4
FRB 20220717A,0.36295,637.34,489.04,,,Fan,
FRB 20220831A,0.262,1146.25,989.45,110.96,12.47,Fan,https://data.caltech.edu/records/3cd7s-1hx79
FRB 20230521B,1.354,1342.9,1174.1,115.65,9.97,Fan,https://data.caltech.edu/records/fqmrk-sx247
FRB 20230814A,0.553,696.4,561.6,112.56,13.2,Fan,https://data.caltech.edu/records/5h96h-7hw86
FRB 20231220A,0.3355,491.2,411.3,143.29,31.69,Fan,https://data.caltech.edu/records/bsp4b-e5m03
FRB 20240119A,0.376,483.1,415.1,112.37,43.24,Fan,https://data.caltech.edu/records/19p9x-jnx25
FRB 20240123A,0.968,1462,1341.8,138.14,15.34,Fan,https://data.caltech.edu/records/snwvs-6fj29
FRB 20240213A,0.1185,357.4,287.4,136.49,41.57,Fan,https://data.caltech.edu/records/99pa3-q0257
FRB 20240215A,0.21,549.5,471.6,102.29,30.17,Fan,https://data.caltech.edu/records/9rxv2-g8g33
FRB 20240229A,0.287,491.15,423.15,131.13,44.11,Fan,https://www.wis-tns.org/object/FRB20240229A/discovery-cert
FRB 20220204A,0.4012,612.2,529.43,102.26,27.06,Kritti,https://data.caltech.edu/records/0m397-8vy97
FRB 20220207C,0.0433,262.3,152.98,106.94,18.39,Kritti,https://data.caltech.edu/records/3c8kh-x6373
FRB 20220208A,0.351,437,316.65,107.62,15.36,Kritti,https://data.caltech.edu/records/3dg2k-38r28
FRB 20220307B,0.2481,499.15,333.43,116.24,10.47,Kritti,https://data.caltech.edu/records/sxn95-1ym34
FRB 20220310F,0.478,462.15,386.71,140.02,34.8,Kritti,https://data.caltech.edu/records/8pv69-3en32
FRB 20220330D,0.3714,468.1,398.75,134.18,42.93,Kritti,https://data.caltech.edu/records/jp35k-ehm67
FRB 20220418A,0.6213,623.45,555.84,110.75,44.47,Kritti,https://data.caltech.edu/records/jbt97-nb561
FRB 20220506D,0.3004,369.93,277.81,108.35,16.51,Kritti,https://data.caltech.edu/records/byyt8-y6a26
FRB 20220509G,0.0894,269.5,184.29,100.94,25.48,Kritti,https://data.caltech.edu/records/53dr5-16b81
FRB 20220726A,0.3619,686.55,571.37,139.97,17.57,Kritti,https://data.caltech.edu/records/5zakw-b8918
FRB 20220825A,0.2414,651.2,541.5,106.99,17.79,Kritti,https://data.caltech.edu/records/7zry5-cpa32
FRB 20220914A,0.1139,631.05,545.86,104.31,26.13,Kritti,https://data.caltech.edu/records/6jbbd-p8572
FRB 20220920A,0.1582,315,244.68,104.92,38.89,Kritti,https://data.caltech.edu/records/thzm5-ckx73
FRB 20221012A,0.2847,441.2,357.85,101.14,26.14,Kritti,https://data.caltech.edu/records/rn8j2-g1e84
FRB 20221027A,0.5422,452.5,375.36,142.66,33.96,Kritti,https://data.caltech.edu/records/05q3a-bgm50
FRB 20221029A,0.975,1391.05,1317.42,140.39,38.01,Kritti,https://data.caltech.edu/records/91bm6-x2f47
FRB 20221101B,0.2395,490.7,336.21,113.25,11.06,Kritti,https://data.caltech.edu/records/r7jkw-a4g05
FRB 20221113A,0.2505,411.027,293.5,139.53,16.99,"Kritti, Fan",https://data.caltech.edu/records/9s8bj-rm791
FRB 20221116A,0.2764,643.448,466.8,124.47,8.71,"Kritti, Fan",https://data.caltech.edu/records/hevaf-20f84
FRB 20221219A,0.553,706.708,632.3,103.19,34.07,"Kritti, Fan",https://data.caltech.edu/records/hqdsb-v4n88
FRB 20230124A,0.0939,590.574,521.1,107.55,40.25,"Kritti, Fan",https://data.caltech.edu/records/m397d-9wf04
FRB 20230216A,0.531,828,758.8,242.6,46.33,Kritti,https://data.caltech.edu/records/f9g9m-e0873
FRB 20230307A,0.2706,608.854,550.65,127.35,45,"Kritti, Fan",https://data.caltech.edu/records/c6a0z-0yd73
FRB 20230501A,0.3015,532.471,383,112.43,11.51,"Kritti, Fan",https://data.caltech.edu/records/x16bp-afh35
FRB 20230626A,0.327,361.4,381.9,105.68,38.34,"Kritti, Fan",https://data.caltech.edu/records/vwwt9-ets63
FRB 20230628A,0.127,344.952,276.35,135.48,42.21,"Kritti, Fan",https://data.caltech.edu/records/dcv4j-74144
FRB 20230712A,0.4525,587.567,518.21,132.31,43.69,"Kritti, Fan",https://data.caltech.edu/records/wrn1x-xnt27
FRB 20231120A,0.0368,438.9,365.8,140.43,37.94,Kritti,https://data.caltech.edu/records/nbtw5-37m55
FRB 20231123B,0.2621,396.857,326.1,105.71,38.38,"Kritti, Fan",https://data.caltech.edu/records/6hskc-pfe37
FRB 20121102A,0.19273,557,339,174.89,-0.23,Surajit,https://iopscience.iop.org/article/10.1088/0004-637X/790/2/101
FRB 20171020A,0.0086,114.1,46.1,29.3,-51.3,Surajit,https://www.nature.com/articles/s41586-018-0588-y
FRB 20180301A,0.3304,522,340,204.412,-6.481,Surajit,https://academic.oup.com/mnras/article/486/3/3636/5432360?login=false
FRB 20180916B,0.0337,349.3,119.3,129.71,3.73,Surajit,https://iopscience.iop.org/article/10.3847/2041-8213/ab4a80
FRB 20180924B,0.3214,361.42,290.92,0.7424,-49.4147,Surajit,https://www.science.org/doi/10.1126/science.aaw5903
FRB 20181112A,0.4755,589.27,457.27,342.5995,-47.6988,Surajit,https://www.science.org/doi/10.1126/science.aay0073
