FRB,z,DM_ext,Voltage localization,"host_loc (deg, deg)","host_loc (hms, dms)"
FRB 20220319D,0.0112,559.43,18h16m54.30s +69d43m21.01s,"32.170259020, +71.035874990","02:08:40.86, 71:02:09.150"
FRB 20231120A,0.0368,182.98,20h40m47.886s +72d52m56.378s,"143.984540350, 73.284945000","09:35:56.29, 73:17:05.80"
FRB 20220207C,0.0433,346.65,21h30m18.03s +70d02m27.75s,"310.197579, +72.882749","20:40:47.4189, +72:52:57.897"
FRB 20220509G,0.0894,363.43,23h23m29.879s +72d11m32.59s,"282.674784770, +70.242733870","18:50:41.9158, +70:14:33.951"
FRB 20230124A,0.0939,416.71,08h58m52.92s +73d29m27.0s,"231.915836640, +70.968226560","15:27:39.800, +70:58:05.620"
FRB 20220914A,0.1139,-22.31,02h08m42.701s +71d02m06.936s,"282.0582, 73.3363","18:48:13.97, +73:20:10.68"
FRB 20230628A,0.127,428.75,10h55m00.30s +70d21m02.70s,"282.0582, 73.3363","11:07:08.7223, +72:16:53.014"
FRB 20220920A,0.1582,585.84,14h36m25.338s +70d05m45.40s,"240.2568, 70.9180","16:01:01.6337, +70:55:05.050"
FRB 20221101B,0.2395,307.81,21h12m10.760s +72d49m38.20s,"342.215476110, +70.680470450","22:48:51.7143, +70:40:49.694"
FRB 20220825A,0.2414,214.29,18h50m40.8s +70d14m37.8s,"311.9817, 72.5851","20:47:55.6, +72:35:06.5"
FRB 20220307B,0.2481,601.37,04h55m46.96s +69d55m44.8s,"350.8747, 72.1919","23:23:29.9248, +72:11:30.803"
FRB 20221113A,0.2505,571.5,20h47m55.548s +72d35m05.89s,"71.411749900, 70.30738825","4:45:38.8200, +70:18:26.598"
FRB 20231123B,0.2621,575.86,18h48m13.63s +73d20m12.89s,"242.540249060, 70.785853440","16:10:09.586, 70:47:09.020"
FRB 20230307A,0.2706,274.68,16h01m01.700s +70d55m07.681s,"177.782521510, 71.695276350","11:51:07.81, +71:41:42.99"
FRB 20221116A,0.2764,387.85,18h43m11.69s +70d31m27.15s,"21.206946, 72.653211","1:24:49.6670,  +72:39:11.560"
FRB 20221012A,0.2847,405.36,08h43m29.23s   +72d06m03.5s,"280.801400170, 70.524183110","18:43:12.34, +70:31:27.06"
FRB 20220506D,0.3004,1347.42,09h27m51.22s +72d27m08.34s,"318.044696340, 72.827154820","21:12:10.73, +72:49:37.76"
FRB 20230501A,0.3015,366.211,22h48m51.89s +70d40m52.2s,"340.027808, 70.922266","22:40:06.67392, +70:55:20.1576"
FRB 20230626A,0.327,323.5,04h45m38.64s +70d18m26.6s,"235.630146280, +71.133662510","15:42:31.2351, +71:08:01.185"
FRB 20220208A,0.351,496.8,01h24m50.45s +72d39m14.1s,"322.572, 70.042","21:30:17.28, 70:02:31.20"
FRB 20220726A,0.3619,662.3,17h10m31.15s +71d37m36.63s,"73.9451190, 69.9287000","4:55:46.8286, +69:55:43.320"
FRB 20220330D,0.3714,551.1,15h27m39.90s +70d58m05.2s,"163.748931, 70.350321","10:54:59.74, +70:21:01.16"
FRB 20220204A,0.4012,788.8,10h25m53.32s +03d26m12.57s,"274.2278, 69.7222","18:16:54.67, +69:43:19.92"
FRB 20230712A,0.4525,580.65,11h51m07.52s +71d41m44.3s,"167.360311, 72.558011","11 09 26.4746, +72 33 28.8396"
FRB 20220310F,0.478,413,22h40m06.52s +70d55m19.82s,"134.721078150, 73.491016090","8:58:53.0539, +73:29:27.445"
FRB 20230216A,0.531,411.9,15h42m31.10s +71d08m00.77s,"156.473172090, 3.436834140","10:25:53.5613, +3:26:12.603"
FRB 20221027A,0.5422,306.35,11h07m08.81s +72d16m54.64s,"130.873, 72.1009","08:43:29.52, 72:06:03.24"
FRB 20221219A,0.553,548.21,11h09m26.047s   +72d33m28.02s,"257.6296, 71.6266","17:10:31.10, 71:37:35.76"
FRB 20220418A,0.6213,395.8,09h35m56.15s +73d17m04.8s,"219.106487310, 70.095317150","14:36:25.5844, +70:05:43.597"
FRB 20221029A,0.975,356.1,16h10m09.16s +70d47m06.2s,"141.966300, 72.452000","09:27:51.9120, +72:27:07.199"
