FRB,z,gl,gb,DM,"DM_MW, ISM(NE2001)","DM_MW, ISM(YMW16)",DM_ext(ne2001),DM_ext(ymw16),Ref.
FRB 20180814A,0.068,136.46,16.58,190.9,87.83,108.41,73.07390441894532,52.493322753906256,CHIME13
FRB 20181030A,0.00385,133.4,40.9,103.5,40.35,32.24,33.149497985839844,41.25672912597656,181030A
FRB 20220529A,0.1839,130.78767,-41.85802,246.0,39.95,30.92,176.04883193969727,185.0764045715332,https://arxiv.org/abs/2503.04727
FRB 20220610A,1.015,8.8392,-70.1857,1458.1,30.96,13.58,1397.1421199798583,1414.5210891723632,ASKAP2
FRB 20220717A,0.36295,19.83515767,-17.63203224,637.34,118.33,83.22,489.0083959960938,524.1162145996094,https://arxiv.org/pdf/2407.02173
FRB 20220831A,0.262,110.96,12.47,1146.25,110.21,147.77,1006.0371780395508,968.4815979003906,https://arxiv.org/pdf/2409.16952
FRB 20230521B,1.354,115.65,9.97,1342.9,133.4,197.8,1179.5019439697267,1115.1003784179688,https://arxiv.org/pdf/2409.16952
FRB 20230814A,0.553,112.56,13.2,696.4,104.76,137.79,561.6403182983398,528.6119598388672,https://arxiv.org/pdf/2409.16952
FRB 20231220A,0.3355,143.29,31.69,491.2,50.27,45.17,410.9344856262207,416.02706451416014,https://arxiv.org/pdf/2409.16952
FRB 20240119A,0.376,112.37,43.24,483.1,37.36,30.32,415.7366081237793,422.7769847869873,https://arxiv.org/pdf/2409.16952
FRB 20240123A,0.968,138.14,15.34,1462.0,94.02,119.71,1337.9801864624023,1312.2853240966797,https://arxiv.org/pdf/2409.16952
FRB 20240213A,0.1185,136.49,41.57,357.4,40.1,31.76,287.3001083374023,295.64236106872556,https://arxiv.org/pdf/2409.16952
FRB 20240215A,0.21,102.29,30.17,549.5,48.29,43.11,471.20966720581055,476.3882026672363,https://arxiv.org/pdf/2409.16952
FRB 20240229A,0.287,131.13,44.11,491.15,37.94,29.81,423.214826965332,431.341837310791,https://arxiv.org/pdf/2409.16952
FRB 20230814B,0.5535,111.25,12.26,696.4,111.87,151.38,554.5278915405273,515.0151885986328,https://arxiv.org/pdf/2409.16952
FRB 20220204A,0.4012,102.26,27.06,612.2,52.84,48.7,529.355616760254,533.4972221374512,Kritti3
FRB 20220207C,0.0433,106.94,18.39,262.3,76.1,83.27,156.20245819091798,149.03323822021486,Kritti4
FRB 20220208A,0.351,107.62,15.36,437.0,90.4,107.92,316.59680938720703,299.08003997802734,Kritti3
FRB 20220307B,0.2481,116.24,10.47,499.15,128.25,186.98,340.90370788574216,282.16921081542966,Kritti4
FRB 20220310F,0.478,140.02,34.8,462.15,46.34,39.51,385.81288757324216,392.64165725708006,Kritti4
FRB 20220330D,0.3714,134.18,42.93,468.1,38.98,30.63,399.1211563110352,407.4747024536133,Kritti3
FRB 20220418A,0.6213,110.75,44.47,623.45,36.65,29.54,556.7978546142579,563.9148513793946,Kritti4
FRB 20220506D,0.3004,108.35,16.51,369.93,84.58,97.69,255.35381286621094,242.24218719482423,Kritti4
FRB 20220509G,0.0894,100.94,25.48,269.5,55.6,52.06,183.90061569213867,187.44083786010742,Kritti4
FRB 20220726A,0.3619,139.97,17.57,686.55,83.65,101.14,572.9042251586914,555.4083374023437,Kritti3
FRB 20220825A,0.2414,106.99,17.79,651.2,78.46,86.91,542.7408630371094,534.2853881835938,Kritti4
FRB 20220914A,0.1139,104.31,26.13,631.05,54.68,51.11,546.3669288635253,549.9365966796875,Kritti3
FRB 20220920A,0.1582,104.92,38.89,315.0,39.86,33.36,245.13671112060547,251.63598251342773,Kritti4
FRB 20221012A,0.2847,101.14,26.14,442.2,54.35,50.55,357.85362548828124,361.65320892333983,Kritti4
FRB 20221027A,0.5422,142.66,33.96,452.5,47.62,41.07,374.8814125061035,381.4337692260742,Kritti3
FRB 20221029A,0.975,140.39,38.01,1391.05,43.15,35.42,1317.899006652832,1325.626675415039,Kritti3
FRB 20221101B,0.2395,113.25,11.06,490.7,122.68,174.2,338.01607818603514,286.4979583740234,Kritti3
FRB 20221113A,0.2505,139.53,16.99,411.4,86.31,105.52,295.09288635253904,275.87716522216795,Kritti_local
FRB 20221116A,0.2764,124.47,8.71,640.6,145.05,223.48,465.5515075683594,387.1169067382813,ASKAP_Kritti2
FRB 20221219A,0.553,103.19,34.07,706.708,43.97,37.98,632.7428625183105,638.7306974487304,Kritti_local
FRB 20230124A,0.0939,107.55,40.25,590.574,39.13,32.36,521.4442011108398,528.2150942077636,Kritti_local
FRB 20230216A,0.531,242.6,46.33,828.0,39.46,28.15,758.5358428955078,769.853588104248,Kritti_local
FRB 20230307A,0.2706,127.35,45.0,608.854,37.4,29.26,541.4554480590821,549.5955180206299,Kritti_local
FRB 20230501A,0.3015,112.43,11.51,532.471,118.55,165.22,383.9168465576172,337.24881677246094,Kritti_local
FRB 20230626A,0.327,105.68,38.34,451.2,40.21,33.85,380.9878952026367,387.34923095703124,Kritti_local
FRB 20230628A,0.127,135.48,42.21,344.952,39.59,31.17,275.3584254760742,283.77903590393066,Kritti_local
FRB 20230712A,0.4525,132.31,43.69,587.567,38.44,30.1,519.1252962036133,527.4652925415039,Kritti_local
FRB 20231120A,0.0368,140.43,37.94,438.9,43.22,35.5,365.67819061279295,373.39563217163084,Kritti_local
FRB 20231123B,0.2621,105.71,38.38,396.857,40.36,33.82,326.49671328735354,333.0389458007813,Kritti_local
FRB 20121102A,0.19273,174.89,-0.23,557.0,188.42,287.07,338.57701110839844,239.93121337890625,https://iopscience.iop.org/article/10.1088/0004-637X/790/2/101
FRB 20171020A,0.00867,29.3,-51.3,114.1,38.37,25.84,45.72812423706054,58.261947250366205,https://iopscience.iop.org/article/10.3847/2041-8213/aae7cb
FRB 20180301A,0.3304,204.412,-6.481,522.0,150.73,252.56,341.2745361328125,239.43727111816406,https://iopscience.iop.org/article/10.3847/1538-3881/ac3aec
FRB 20180916B,0.0338,129.71,3.73,348.76,198.91,324.82,119.85283447265624,-6.062357177734384,180916B
FRB 20180924B,0.3214,0.7424,-49.4147,361.75,40.5,27.65,291.2527732849121,304.1014347076416,https://www.science.org/doi/10.1126/science.aaw5903
FRB 20181112A,0.4755,342.5995,-47.6988,589.0,41.72,29.03,517.2804145812988,529.9713191986084,https://www.science.org/doi/10.1126/science.aay0073
FRB 20181220A,0.02746,105.24,-10.73,209.4,125.85,122.13,53.551550292968756,57.27177276611329,CHIME4
FRB 20181223C,0.03024,207.75,79.51,112.5,19.93,19.15,62.574180603027344,63.35129165649414,CHIME4
FRB 20190102C,0.29,312.6537,-33.4931,364.55,57.4,43.28,277.1504791259766,291.27002029418946,190102C
FRB 20190110C,0.12244,65.6,42.1,221.6,37.07,29.95,154.5282760620117,161.65352210998535,CHIME_host
FRB 20190303A,0.064,97.5,65.7,222.4,29.67,21.83,162.73424758911133,170.57208671569825,CHIME13
FRB 20190418A,0.07132,179.3,-22.93,184.5,70.11,85.6,84.38522338867188,68.89952850341797,CHIME4
FRB 20190425A,0.03122,42.06,33.02,128.2,48.8,38.81,49.40499038696288,59.389918518066395,CHIME4
FRB 20190520B,0.241,359.67,29.91,1204.7,60.21,50.23,1114.4934913635254,1124.4650527954102,https://www.nature.com/articles/s41586-022-04755-5
FRB 20190523A,0.66,117.03,44.0,760.8,37.18,29.88,693.6202590942382,700.9198253631591,https://www.nature.com/articles/s41586-019-1389-7
FRB 20190608B,0.11778,53.2088,-48.5296,339.5,37.27,26.62,272.23025131225586,282.8774299621582,190608B
FRB 20190611B,0.3778,312.9352,-33.2818,322.4,57.83,43.67,234.57234039306638,248.729963684082,290611B
FRB 20190614D,0.6,136.3,16.5,959.2,88.0,109.06,841.2002517700196,820.1425964355469,https://iopscience.iop.org/article/10.3847/1538-4357/aba4ac
FRB 20190711A,0.522,310.9081,-33.902,592.0,56.49,42.61,505.5121040344238,519.3879241943359,190711A
FRB 20190714A,0.2365,289.6972,48.9359,504.7,38.49,31.16,436.20876235961913,443.540389251709,190714A
FRB 20191001A,0.23,341.2267,-44.9039,507.0,44.17,31.08,432.82581329345703,445.91879081726074,191001A
FRB 20191106C,0.10775,105.7,73.2,332.2,25.01,20.54,277.18980903625487,281.6612636566162,CHIME_host
FRB 20191228A,0.2432,20.5553,-64.9245,297.0,32.95,19.92,234.05347061157227,247.07517433166504,191228A
FRB 20200223B,0.06024,118.1,-33.9,201.8,45.53,36.99,126.27235488891603,134.80762176513673,CHIME_host
FRB 20200430A,0.1608,17.1396,52.503,380.1,27.18,26.08,322.91762886047366,324.0234447479248,200430A
FRB 20200906A,0.3688,202.257,-49.9989,577.8,35.84,37.87,511.96366577148433,509.9346588134765,200906A
FRB 20201123A,0.0507,340.23,-9.68,433.55,251.66,162.66,151.8935974121094,240.89072875976564,https://academic.oup.com/mnras/article/514/2/1961/6595347?login=false
FRB 20201124A,0.098,177.6,-8.5,413.52,140.13,196.69,243.3883166503906,186.82784606933592,https://ui.adsabs.harvard.edu/abs/2022MNRAS.513..982R/abstract
FRB 20210117A,0.214,45.9175,-57.6464,729.2,34.38,23.1,664.8243209838868,676.0968372344971,https://iopscience.iop.org/article/10.3847/1538-4357/acc178
FRB 20210320C,0.28,318.8729,45.3081,384.6,39.29,30.39,315.3119369506836,324.2117973327637,https://arxiv.org/abs/2302.05465
FRB 20210405I,0.066,338.19,-4.59,565.17,516.78,349.21,18.38789550781246,185.96367065429683,20210405I
FRB 20210410D,0.1415,312.32,-34.13,578.78,56.19,42.24,492.5880940246582,506.5404827880859,https://www.wis-tns.org/object/frb20210410d
FRB 20210603A,0.1772,119.71,-41.58,500.147,39.53,30.79,430.61314837646484,439.3597628326416,https://arxiv.org/abs/2307.09502
FRB 20210807D,0.12927,39.8612,-14.8775,251.9,121.17,93.66,100.72746124267579,128.2382568359375,210807D
FRB 20211127I,0.046946,312.0214,43.5427,234.83,42.47,31.46,162.35898406982423,173.37004287719728,211127I
FRB 20211203C,0.3439,314.5185,30.4361,636.2,63.73,48.38,542.4724647521973,557.8231994628907,211203C
FRB 20211212A,0.0707,244.0081,47.3154,200.0,38.75,27.46,131.24811553955078,142.53884315490723,211212A
FRB 20220105A,0.2785,18.555,74.808,583.0,22.04,20.63,530.9622592926025,532.3722839355469,220105A
FRB 20220319D,0.0112,129.18,9.11,110.95,139.71,210.96,-58.7599609375,-130.01290588378907,220319D
FRB 20220501C,0.381,11.1777,-71.4731,449.5,30.62,14.0,388.8774948120117,405.4996089935303,220501C
FRB 20220725A,0.1962,0.0017,-71.1863,290.1,30.73,11.58,229.3679786682129,248.51998100280764,ASKAP2
FRB 20220912A,0.0771,347.27,48.7,219.46,32.5,28.6,156.96005340576173,160.85807319641114,https://www.astronomerstelegram.org/?read=15679
FRB 20220918A,0.491,300.6851,-46.2342,643.0,40.74,28.87,572.256763458252,584.1325073242188,ASKAP2
FRB 20221106A,0.2044,220.901,-50.8788,343.2,34.79,31.84,278.41039581298827,281.35531730651854,ASKAP2
FRB 20230526A,0.157,290.171,-63.4721,316.2,31.86,21.86,254.34012718200682,264.34002990722655,ASKAP2
FRB 20230708A,0.105,342.6288,-33.3877,411.51,60.33,43.99,321.18367935180663,337.51725173950194,ASKAP2
FRB 20230718A,0.035,259.4629,-0.3666,476.67,420.65,449.99,26.02128784179689,-3.316022949218734,ASKAP2
FRB 20230902A,0.3619,256.9906,-53.3387,440.1,34.14,25.53,375.9648567199707,384.5654865264893,ASKAP2
FRB 20231226A,0.1569,236.5768,48.6458,329.9,38.09,26.69,261.8089660644531,273.21301689147947,ASKAP2
FRB 20240114A,0.1306,57.73,-31.68,527.7,49.42,38.77,448.2836982727051,458.93464965820317,240114A
FRB 20240201A,0.042729,222.1335,47.9692,374.5,38.62,29.14,305.8835029602051,315.35799407958984,ASKAP2
FRB 20240210A,0.023686,14.4396,-86.2116,283.73,28.69,17.9,225.03719375610353,235.82890365600588,ASKAP2
FRB 20240310A,0.127,291.7066,-72.2713,601.8,30.1,19.83,541.6990516662597,551.974934387207,ASKAP2
FRB 20200120E,0.00014,142.19,41.22,87.82,40.67,32.23,17.150959320068353,25.59323913574218,20200120E
FRB 20230203A,0.1464,188.7125372,54.08702676,420.1,36.26,22.95,353.83727798461916,367.1510635375977,https://arxiv.org/pdf/2502.11217
FRB 20230222A,0.1223,204.7163778,8.695736261,706.1,134.2,188.08,541.9014831542969,488.02288208007815,https://arxiv.org/pdf/2502.11217
FRB 20230222B,0.11,49.61758206,49.97872118,187.8,27.73,26.29,130.06698875427247,131.51276664733888,https://arxiv.org/pdf/2502.11217
FRB 20230311A,0.1918,157.7133766,16.03946791,364.3,92.46,115.68,241.84404449462892,218.61995391845704,https://arxiv.org/pdf/2502.11217
FRB 20230703A,0.1184,137.2097857,67.47502062,291.3,26.93,20.67,234.372416305542,240.63329010009767,https://arxiv.org/pdf/2502.11217
FRB 20230730A,0.2115,158.8166352,-17.81644809,312.5,85.16,97.38,197.3438491821289,185.12014770507812,https://arxiv.org/pdf/2502.11217
FRB 20230926A,0.0553,68.23527902,27.48398452,222.8,52.62,43.72,140.18003158569337,149.07740478515626,https://arxiv.org/pdf/2502.11217
FRB 20231005A,0.0713,57.16529291,44.35315679,189.4,33.47,28.79,125.92962493896485,130.61373748779297,https://arxiv.org/pdf/2502.11217
FRB 20231011A,0.0783,127.2286992,-20.94298363,186.3,70.35,65.69,85.94981079101564,90.60969238281251,https://arxiv.org/pdf/2502.11217
FRB 20231017A,0.245,100.6098004,-21.65190357,344.2,64.55,55.64,249.64934844970702,258.55851287841796,https://arxiv.org/pdf/2502.11217
FRB 20231025B,0.3238,93.43324314,29.43399566,368.7,48.59,43.37,290.11133499145507,295.32801361083983,https://arxiv.org/pdf/2502.11217
FRB 20231123A,0.0729,199.3094435,-15.74274898,302.1,89.75,136.86,182.35138092041018,135.23735961914065,https://arxiv.org/pdf/2502.11217
FRB 20231128A,0.1079,105.6852393,73.2240021,331.6,25.01,20.54,276.5937152862549,281.0642658233643,https://arxiv.org/pdf/2502.11217
FRB 20231201A,0.1119,163.0405249,-22.7702363,169.4,69.95,74.72,69.44795837402344,64.68348541259766,https://arxiv.org/pdf/2502.11217
FRB 20231204A,0.0644,97.62375629,65.92814517,221.0,29.83,21.79,161.17134475708008,169.21312522888184,https://arxiv.org/pdf/2502.11217
FRB 20231206A,0.0659,161.0581675,27.48189499,457.7,59.14,59.29,368.5641319274902,368.41174240112304,https://arxiv.org/pdf/2502.11217
FRB 20231223C,0.1059,52.31072392,32.08016178,165.8,47.87,38.64,87.93407516479493,97.1623275756836,https://arxiv.org/pdf/2502.11217
FRB 20231229A,0.019,135.344911,-26.44334852,198.5,58.18,51.77,110.31969833374023,116.73446655273438,https://arxiv.org/pdf/2502.11217
FRB 20231230A,0.0298,195.8701482,-25.2386886,131.4,61.58,83.27,39.82437362670899,18.125875854492193,https://arxiv.org/pdf/2502.11217
