FRB,DM_obs (pc cm^-3),E_DM_obs,DM_MW (pc cm^-3),z,DM_ext,Kiritti_DM_ext
FRB 20121102A,557,2,188,0.19273,369,
FRB 20171020A,114.1,0.2,38,0.0086,76.1,
FRB 20180301A,522,0.2,152,0.3304,370,
FRB 20180916B,349.3,0.2,200,0.0337,149.3,
FRB 20180924B,361.42,0.06,40.5,0.3214,320.92,
FRB 20181112A,589.27,0.03,102,0.4755,487.27,
FRB 20181220A,209.4,0.1,126,0.02746,83.4,
FRB 20181223C,112.5,0.1,20,0.03024,92.5,
FRB 20190102C,363.6,0.3,57.3,0.291,306.3,
FRB 20190110C,221.6,1.6,37.1,0.12244,184.5,
FRB 20190303A,222.4,0.7,29,0.064,193.4,
FRB 20190418A,184.5,0.1,71,0.07132,113.5,
FRB 20190425A,128.2,0.1,49,0.03122,79.2,
FRB 20190520B,1204.7,10,113,0.241,1091.7,
FRB 20190523A,760.8,0.6,37,0.66,723.8,
FRB 20190608B,338.7,0.5,37.2,0.1178,301.5,
FRB 20190611B,321.4,0.2,57.83,0.3778,263.57,
FRB 20190614D,959.2,5,83.5,0.6,875.7,
FRB 20190711A,593.1,0.4,56.4,0.522,536.7,
FRB 20190714A,504,2,39,0.2365,465,
FRB 20191001A,506.92,0.04,44.7,0.234,462.22,
FRB 20191106C,332.2,0.7,25,0.10775,307.2,
FRB 20191228A,297.5,0.05,33,0.2432,264.5,
FRB 20200223B,201.8,0.4,45.6,0.0602,156.2,
FRB 20200430A,380.1,0.4,27,0.16,353.1,
FRB 20200906A,577.8,0.02,36,0.3688,541.8,
FRB 20201123A,433.55,0.36,251.93,0.05,181.62,
FRB 20201124A,413.52,0.05,123.2,0.098,290.32,
FRB 20210117A,730,1.1,34.4,0.2145,695.6,
FRB 20210320C,384.8,0.3,42,0.2797,342.8,
FRB 20210405I,565.17,0.49,516.1,0.066,49.07,
FRB 20210410D,578.78,2,56.2,0.1415,522.58,
FRB 20210603A,500.147,0.004,40,0.177,460.147,
FRB 20210807D,251.9,0.2,121.2,0.12927,130.7,
FRB 20211127I,234.83,0.08,42.5,0.0469,192.33,
FRB 20211203C,636.2,0.4,63,0.3437,573.2,
FRB 20211212A,206,5,27.1,0.0715,178.9,
FRB 20220105A,583,2,22,0.2785,561,
FRB 20220207C,262.38,0.01,79.3,0.04304,183.08,182
FRB 20220307B,499.27,0.06,135.7,0.248123,363.57,
FRB 20220310F,462.24,0.005,45.4,0.477958,416.84,416
FRB 20220319D,110.95,0.02,65.25,0.011,45.7,-22
FRB 20220418A,623.25,0.01,37.6,0.622,585.65,
FRB 20220501C,449.5,0.2,31,0.381,418.5,
FRB 20220506D,396.97,0.02,89.1,0.30039,307.87,307
FRB 20220509G,269.53,0.02,55.2,0.0894,214.33,214
FRB 20220610A,1458,0.2,31,1.017,1427,
FRB 20220725A,290.4,0.3,31,0.1962,259.4,
FRB 20220825A,651.24,0.06,79.7,0.241397,571.54,571
FRB 20220912A,219.46,0.04,125,0.077,94.46,
FRB 20220914A,631.28,0.04,55.2,0.1139,576.08,575
FRB 20220918A,656.8,0.4,41,0.491,615.8,
FRB 20220920A,314.99,0.01,40.3,0.158239,274.69,274
FRB 20221012A,441.08,0.7,54.4,0.284669,386.68,387
FRB 20221106A,343.8,0.8,35,0.2044,308.8,
FRB 20230526A,361.4,0.2,50,0.157,311.4,
FRB 20230708A,411.51,0.05,50,0.105,361.51,
FRB 20230718A,476.6,0.5,393,0.0357,83.6,
FRB 20230902A,440.1,0.1,34,0.3619,406.1,
FRB 20231226A,329.9,0.1,145,0.1569,184.9,
FRB 20240114A,527.7,0.1,40,0.42,487.7,
FRB 20240201A,374.5,0.2,38,0.042729,336.5,
FRB 20240210A,283.73,0.05,31,0.023686,252.73,
FRB 20240310A,601.8,0.2,36,0.127,565.8,
